scenario,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc
scenario4_majority_demo_only,103,Logistic Regression,157,43,target_plus_cohort,0.5348837209302325,0.4,0.10526315789473684,0.16666666666666666,0.6557017543859649,0.5954394536356407
scenario4_majority_demo_only,103,Random Forest,157,43,target_plus_cohort,0.627906976744186,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.6096491228070176,0.5390884178060849
scenario4_majority_demo_only,103,Gradient Boosting,157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7171052631578947,0.649904139587968
scenario4_majority_demo_only,103,SVM (RBF),157,43,target_plus_cohort,0.5348837209302325,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.4758771929824562,0.4623317995329118
scenario4_majority_demo_only,104,Logistic Regression,162,38,target_plus_cohort,0.6842105263157895,0.6363636363636364,0.7777777777777778,0.7,0.8861111111111111,0.8927425955686827
scenario4_majority_demo_only,104,Random Forest,162,38,target_plus_cohort,0.6052631578947368,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5527777777777778,0.5098332894474297
scenario4_majority_demo_only,104,Gradient Boosting,162,38,target_plus_cohort,0.5,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.4777777777777778,0.45326523037554256
scenario4_majority_demo_only,104,SVM (RBF),162,38,target_plus_cohort,0.6842105263157895,0.65,0.7222222222222222,0.6842105263157895,0.7444444444444445,0.6464955693450317
scenario4_majority_demo_only,105,Logistic Regression,158,42,target_plus_cohort,0.6190476190476191,0.5652173913043478,0.6842105263157895,0.6190476190476191,0.702517162471396,0.652920754328201
scenario4_majority_demo_only,105,Random Forest,158,42,target_plus_cohort,0.4523809523809524,0.375,0.3157894736842105,0.34285714285714286,0.5881006864988558,0.5280641853808179
scenario4_majority_demo_only,105,Gradient Boosting,158,42,target_plus_cohort,0.4523809523809524,0.3333333333333333,0.21052631578947367,0.25806451612903225,0.391304347826087,0.41475245997866594
scenario4_majority_demo_only,105,SVM (RBF),158,42,target_plus_cohort,0.7142857142857143,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7459954233409611,0.7344843888869051
scenario4_majority_demo_only,106,Logistic Regression,158,42,target_plus_cohort,0.5952380952380952,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.5766590389016018,0.549298070350702
scenario4_majority_demo_only,106,Random Forest,158,42,target_plus_cohort,0.5952380952380952,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.5675057208237987,0.5313772119693172
scenario4_majority_demo_only,106,Gradient Boosting,158,42,target_plus_cohort,0.5476190476190477,0.5,0.3157894736842105,0.3870967741935484,0.5995423340961099,0.5929331354657741
